Sentiment,Processed_Text
positive,shopping center opened st. petersburg russia november 2010 turn cash flow finnish department store chain stockmann 's russian operations positive first time 2011
neutral,finnish investment company neomarkka main owner kuitu finland 's successor
neutral,"far norwegian norske skog reduced staff levels 1,000 people plans reduce production 200,000 tons 2008 finnish-swedish stora enso cut staff 1,700 people production 500,000 tons"
negative,xlb weakest sector year possible false breakout http //stks.co/dl1z
positive,update 1-pearson expects grow year solid end 2014
neutral,upm-kymmene corp. world 's largest maker magazine paper tuesday reported 19-percent profit drop lower paper prices higher costs strong euro hurt revenue
neutral,company said currently french distribution unit ragot located loudeac normandy distribution unit waterqueen line supplier tortue saint marcel mid-france hook manufacturing unit vmc hook distribution unit vmc europe morvillars
neutral,neste oil corporation refining marketing company concentrating clean high-quality traffic fuels
positive,nflx easy pop 500 end feb .. steady goes 600 second earnings report .. 800 year end matter
neutral,company expects sales revenue rmb8 .0 billion 2009
positive,aria reason shorts n't show ... long steady small climbs best way accrue value imo
positive,`` overall 're pleased startup curve ... 're pleased quality paper `` stora spokeswoman patricia dietz said tuesday
negative,result negotiations employment 130 blue white-collar employees oulu plant would terminated
negative,sales seppala diminished 6 per cent
neutral,combined value orders almost eur 3mn
neutral,stora enso said delight suitable wide range applications including food cosmetics home decoration leisure products
negative,upm stock fell 3 percent euro 12.49 17.24 early afternoon trading helsinki
neutral,pharmaceutical market netherlands global research data services published recently market analysis pharmaceutical markets netherlands
positive,pcln trying break daily trend line big move could happen https //t.co/gy0adb2jsq https //t.co/kpbbcgq2xy
neutral,fortum looking invest several new production units including new waste-fired unit brista combined heat power chp plant biofuels-based production unit vartan chp plant
negative,breaking tesla recalls model x cars .. details show tsla
positive,bg group still happy shell 's 70 billion offer
positive,acinvestorblog spy eod run
neutral,pharmaceuticals netherlands brand-new market analysis gives clear overview actual situation future outlook pharmaceutical market netherlands
positive,"production capacity rise gradually 170,000 tonnes 215,000 tonnes"
neutral,aviation systems maintenance based kansas generated net sales usd 2.6 million 2008
neutral,fixed acquisition price amounts nok 70 approximately eur 8.7 million additional price nok 15 eur 1.8 million maximum
negative,tullow oil suspends dividend amid oil price fall
neutral,store located poznan shopping center named pestka company added
neutral,total emissions reduction 1999 2017 thus 41
neutral,"finnair 's tallinn-based subsidiary aero carried 23,335 passengers decline 60.8 routes helsinki baltic capitals within southern finland"
neutral,rosendal outotec.com eila paatela vice president corporate communications tel +358 20 529 2004 +358 400 817198 e-mail eila
neutral,agreement larox transfer 10 employees within engineering documentation related delivery projects product maintenance finland etteplan january 1 2007
positive,15 december 2010 finnish-german telecoms equipment maker nokia siemens networks said today contract upgrade radio network home-based telecommunications company elisa oyj hel eli1v
positive,rt acinvestorblog aapl still track 500
neutral,year dividend deducted subscription price
neutral,addition contract includes modification effluent treatment plant follum
positive,"omx helsinki 25 index 0.92 pct 2,518.67 helsinki cap portfolio index 0.91 pct higher 4,711.19"
negative,finnish sports equipment company amer sports said decided lay 370 workers salomon division france
neutral,"tiimari 's registered share capital 16,474,755 shares per today"
negative,finnish plumbing heating systems supplier uponor 's net sales continuing business operations decreased eur 249.1 mn july-september 2008 compared eur 262.1 mn third quarter 2007
positive,finnish aldata solution signed contract supply g.o.l.d system two french retail chains
neutral,yhoo fishy action new party interested dailymail bounce retreats short means action questions big move thoughts
neutral,"group owns operates fleet 800dwt container capacity 17,000 teus manages diversified fleet railway rolling stock 17,000 units"
positive,ctrp breaking https //t.co/z2je3rtkch
neutral,repurchase bonds executed open market accordance section 7 f terms conditions convertible bonds
negative,siga bid reargument denied judge
positive,unilever profit rises despite sales slump china
neutral,site cover six hectares
positive,aapl pivot area intraday chart- break could send 50-day sma 457.80 http //stks.co/jpbn
neutral,finnlines announce week 17 2006 measures take tackle situation
positive,stole tweet really would n't surprised took 423 pinned around rt totalguru could possibly even see425 today aapl
neutral,rl-nordic part raiffeisen-banking-group austria subsidiary raiffeisen-leasing gmbh austria
neutral,companieshoward davies appointment rbs director delayed
positive,loss taxes amounted eur 1.2 mn compared loss 2.6 mn
negative,spy vxx aapl parties loaded uvxy volatility back
neutral,`` research shows access information technology one limiting factors small businesses especially work heterogenous network based environment
neutral,sale food potato business part raisio 's plan streamline clarify business operations
negative,comparable operating profit decreased eur 13.8 mn eur 17.1 mn corresponding period 2005
